epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.232,1.36618,2.01092,1.64913,0.47149,0.57616,0.46222,0.19362,1.6923,2.86689,2.61485,0.000659722,0.000659722,0.000659722
2,754.281,1.33594,1.45649,1.56769,0.31631,0.40278,0.2769,0.08165,2.40832,2.69288,3.25607,0.00131326,0.00131326,0.00131326
3,1096.1,1.32342,1.28293,1.56255,0.47779,0.5625,0.46495,0.14625,2.50421,1.8163,3.14084,0.00195359,0.00195359,0.00195359
4,1458.93,1.28203,1.12471,1.5159,0.8176,0.68484,0.80064,0.50273,1.34929,1.45086,1.93471,0.0019406,0.0019406,0.0019406
5,1849.71,1.27226,1.05175,1.51569,0.51554,0.72917,0.56415,0.19594,2.1803,1.74106,2.59485,0.0019208,0.0019208,0.0019208
6,2283.99,1.24347,0.99133,1.48928,0.41052,0.24306,0.22339,0.05744,2.70789,2.55023,3.11744,0.001901,0.001901,0.001901
7,2739.38,1.18226,0.9231,1.44557,0.68168,0.84768,0.68949,0.22056,2.30094,1.39647,2.85937,0.0018812,0.0018812,0.0018812
8,3140.52,1.15907,0.87054,1.43284,0.79728,0.90131,0.91858,0.50061,1.45252,0.95024,2.02063,0.0018614,0.0018614,0.0018614
9,3477.78,1.1686,0.86217,1.43077,0.7595,0.78472,0.72752,0.24678,2.11847,1.22456,2.71514,0.0018416,0.0018416,0.0018416
10,3820.43,1.13726,0.83724,1.41122,0.60845,0.72301,0.62828,0.20066,2.23579,1.4882,2.63845,0.0018218,0.0018218,0.0018218
11,4187.33,1.12394,0.82567,1.40079,0.70866,0.78472,0.74462,0.24912,2.12882,1.48145,2.52533,0.001802,0.001802,0.001802
12,4527.87,1.11051,0.82513,1.39973,0.93559,0.88194,0.95983,0.64148,1.13488,0.62354,1.63108,0.0017822,0.0017822,0.0017822
13,4869.03,1.10478,0.80468,1.38927,0.87885,0.85639,0.93824,0.63313,1.12232,0.73041,1.69885,0.0017624,0.0017624,0.0017624
14,5222.28,1.06547,0.75612,1.3533,0.85894,0.84722,0.91325,0.52567,1.35756,0.83548,1.83932,0.0017426,0.0017426,0.0017426
15,5597.55,1.09346,0.78326,1.36549,0.6626,0.77734,0.64176,0.18159,2.42542,1.28726,2.87317,0.0017228,0.0017228,0.0017228
16,5972.83,1.05152,0.74096,1.35422,0.42145,0.60417,0.49635,0.15241,2.41712,1.67841,2.82208,0.001703,0.001703,0.001703
17,6348.14,1.03866,0.74041,1.33716,0.81851,0.85417,0.87326,0.50767,1.38676,0.88054,1.90798,0.0016832,0.0016832,0.0016832
18,6723.32,1.04811,0.74973,1.34678,0.83899,0.79861,0.89838,0.498,1.39928,1.02618,1.93313,0.0016634,0.0016634,0.0016634
19,7098.7,1.04771,0.73072,1.35183,0.74159,0.82639,0.7534,0.26412,2.16061,1.1819,2.56957,0.0016436,0.0016436,0.0016436
20,7474.49,1.02451,0.70393,1.33049,0.65454,0.8158,0.72237,0.27561,1.93241,1.38972,2.30964,0.0016238,0.0016238,0.0016238
21,7849.47,1.03029,0.7106,1.34385,0.84647,0.88194,0.89742,0.55586,1.17525,0.89999,1.60501,0.001604,0.001604,0.001604
22,8232.98,1.03338,0.71761,1.34422,0.81116,0.86507,0.87483,0.50083,1.51337,0.89698,1.99404,0.0015842,0.0015842,0.0015842
